	|||		|||	
yes it does look like a bear	|||	co|yes pro;per|it mod|do-3S cop|look conj|like det;art|a n|bear	|||	yes it does look like a bear
and what is this Adam	|||	coord|and pro;int|what cop|be-3S pro;dem|this n;prop|Adam	|||	and what is this Adam
we do ~not want to lose the pieces	|||	pro;sub|we mod|do neg|~not v|want inf|to v|lose det;art|the n|piece-PL	|||	we don 't want to lose the pieces
it ~be not for eating	|||	pro;per|it cop|~be neg|not prep|for n;gerund|eat-PRESP	|||	it 's not for eating
no she do ~not want to wear that hat	|||	co|no pro;sub|she mod|do neg|~not v|want inf|to v|wear pro;dem|that n|hat	|||	no she doesn 't want to wear that hat
I ~be making them	|||	pro;sub|I aux|~be part|make-PRESP pro;obj|them	|||	I 'm making them
oh good morning	|||	co|oh adj|good n|morning	|||	oh good morning
if you break it then I will ~not have one	|||	conj|if pro;per|you v|break pro;per|it adv;tem|then pro;sub|I mod|will neg|~not v|have pro;indef|one	|||	if you break it then I won 't have one
did you tell Urs what movie you saw Saturday	|||	v|do-PAST pro;per|you v|tell n;prop|Ursula det;int|what n|movie pro;per|you n|saw n;prop|Saturday	|||	did you tell Urs what movie you saw Saturday
Adam why do ~not you sit down	|||	n;prop|Adam adv;int|why mod|do neg|~not pro;per|you v|sit adv|down	|||	Adam why don 't you sit down
the racket can ~not write either	|||	det;art|the n|racket mod|can neg|~not v|write adv|either	|||	the racket can 't write either
if you write with his pen like that it will ~not write anymore	|||	conj|if pro;per|you v|write prep|with det;poss|his n|pen prep|like pro;dem|that pro;per|it mod|will neg|~not v|write adv|anymore	|||	if you write with his pen like that it won 't write anymore
would you like a glass of ginger ale	|||	mod|will-COND pro;per|you conj|like det;art|a n|glass prep|of n|ginger n|ale	|||	would you like a glass of ginger ale
because a nail ~s in there	|||	conj|because det;art|a n|nail poss|~s adv|in adv|there	|||	because a nail 's in there
what is blood	|||	pro;int|what cop|be-3S n|blood	|||	what is blood
let ~us see what I ~have got in my bag	|||	v;obj|let pro;obj|~us v|see pro;int|what pro;sub|I aux|~have v|get-PAST prep|in det;poss|my n|bag	|||	let 's see what I 've got in my bag
no Adam you ~will tear that	|||	co|no n;prop|Adam pro;per|you mod|~will v|tear pro;dem|that	|||	no Adam you 'll tear that
well they have_to be clean	|||	co|well pro;sub|they mod;aux|have_to cop|be adj|clean	|||	well they have_to be clean
can ~not you fold it up any more so_that you will ~not hit another truck	|||	mod|can neg|~not pro;per|you v|fold pro;per|it adv|up qn|any pro;indef|more conj|so_that pro;per|you mod|will neg|~not part|hit-PASTP qn|another n|truck	|||	can 't you fold it up any more so_that you won 't hit another truck
oh that ~be a street broom	|||	co|oh pro;dem|that cop|~be det;art|a n|street n|broom	|||	oh that 's a street broom
is that the way Chatter walks	|||	cop|be-3S pro;rel|that det;art|the n|way n;prop|Chatter v|walk-3S	|||	is that the way Chatter walks
why d you think she looks like a raccoon with the glasses on	|||	adv;int|why mod|do pro;per|you v|think pro;sub|she cop|look-3S prep|like det;art|a n|raccoon prep|with det;art|the n|glass-PL adv|on	|||	why d you think she looks like a raccoon with the glasses on
I do ~not think I do do you	|||	pro;sub|I mod|do neg|~not v|think pro;sub|I mod|do v|do pro;per|you	|||	I don 't think I do do you
writing bullets	|||	part|write-PRESP n|bullet-PL	|||	writing bullets
may I look now	|||	mod|may pro;sub|I cop|look adv|now	|||	may I look now
Adam hurt himself	|||	n;prop|Adam part|hurt-PASTP pro;refl|himself	|||	Adam hurt himself
why do ~not you stand back a little further	|||	adv;int|why mod|do neg|~not pro;per|you v|stand adv|back det;art|a adj|little adv|further	|||	why don 't you stand back a little further
why would you hold it with that	|||	adv;int|why mod|will-COND pro;per|you v|hold pro;per|it prep|with pro;dem|that	|||	why would you hold it with that
they ~be not hot now	|||	pro;sub|they aux|~be neg|not adj|hot adv|now	|||	they 're not hot now
oh the doggie eats breakfast	|||	co|oh det;art|the n|dog-DIM v|eat-3S n|breakfast	|||	oh the doggie eats breakfast
what happened to her	|||	pro;int|what v|happen-PAST prep|to pro;obj|her	|||	what happened to her
bean bag	|||	n|bean n|bag	|||	bean bag
yes eagles that are alive do fly	|||	co|yes n|eagle-PL pro;rel|that cop|be-PRES adj|alive mod|do v|fly	|||	yes eagles that are alive do fly
be careful and do ~not lose the screws	|||	aux|be co|careful coord|and mod|do neg|~not v|lose det;art|the n|screw-PL	|||	be careful and don 't lose the screws
is it raining	|||	aux|be-3S pro;per|it part|rain-PRESP	|||	is it raining
I ~be not keeping you from flying	|||	pro;sub|I cop|~be neg|not part|keep-PRESP pro;per|you prep|from n;gerund|fly-PRESP	|||	I 'm not keeping you from flying
where ~be what	|||	adv;int|where cop|~be pro;int|what	|||	where 's what
stand up	|||	v|stand adv|up	|||	stand up
you almost caught me	|||	pro;per|you adv|almost v|catch-PAST pro;obj|me	|||	you almost caught me
there ~be a yellow one and a blue one	|||	pro;exist|there cop|~be det;art|a n|yellow det;num|one coord|and det;art|a n|blue pro;indef|one	|||	there 's a yellow one and a blue one
I ~have never seen him	|||	pro;sub|I aux|~have adv|never part|see-PASTP pro;obj|him	|||	I 've never seen him
what is she doing	|||	pro;int|what cop|be-3S pro;sub|she part|do-PRESP	|||	what is she doing
wait until you finish	|||	v|wait prep|until pro;per|you v|finish	|||	wait until you finish
no it ~be a real shell	|||	co|no pro;per|it cop|~be det;art|a adj|real n|shell	|||	no it 's a real shell
what ~be your bunny ~s name	|||	pro;int|what cop|~be det;poss|your n|bunny poss|~s n|name	|||	what 's your bunny 's name
here are two little cars	|||	adv|here cop|be-PRES det;num|two adj|little n|car-PL	|||	here are two little cars
that ~be a banjo	|||	pro;dem|that cop|~be det;art|a n|banjo	|||	that 's a banjo
I certainly do	|||	pro;sub|I adv|certain-dadj v|do	|||	I certainly do
oh it ~be alright for me to call it a puzzle	|||	co|oh pro;per|it cop|~be adj|alright prep|for pro;obj|me inf|to v|call pro;per|it det;art|a n|puzzle	|||	oh it 's alright for me to call it a puzzle
he ~will put it in his mouth	|||	pro;sub|he mod|~will v|put-ZERO pro;per|it prep|in det;poss|his n|mouth	|||	he 'll put it in his mouth
you ~be rolling the tape	|||	pro;per|you aux|~be part|roll-PRESP det;art|the n|tape	|||	you 're rolling the tape
I think you hit his finger	|||	pro;sub|I v|think pro;per|you v|hit-ZERO det;poss|his n|finger	|||	I think you hit his finger
is that what you want	|||	cop|be-3S pro;dem|that pro;int|what pro;per|you v|want	|||	is that what you want
you need gas	|||	pro;per|you v|need n|gas	|||	you need gas
you try and hit it with the paddle	|||	pro;per|you v|try coord|and v|hit-ZERO pro;per|it prep|with det;art|the n|paddle	|||	you try and hit it with the paddle
d you think that ~be a clock	|||	mod|do pro;per|you v|think pro;dem|that cop|~be det;art|a n|clock	|||	d you think that 's a clock
seals and fish	|||	n|seal-PL coord|and n|fish	|||	seals and fish
the thread out	|||	det;art|the v|thread adv|out	|||	the thread out
playing with your bunny	|||	part|play-PRESP prep|with det;poss|your n|bunny	|||	playing with your bunny
Adam maybe your fire engine will stay on better	|||	n;prop|Adam adv|maybe det;poss|your n|fire n|engine mod|will cop|stay adv|on adj|good-CP	|||	Adam maybe your fire engine will stay on better
can you make it look like that	|||	mod|can pro;per|you v|make pro;per|it co|look co|like pro;dem|that	|||	can you make it look like that
no you can ~not take his nose off	|||	co|no pro;per|you mod|can neg|~not v|take det;poss|his n|nose adv|off	|||	no you can 't take his nose off
did you read that book last time Adam	|||	v|do-PAST pro;per|you v|read-ZERO pro;dem|that n|book adj|last n|time n;prop|Adam	|||	did you read that book last time Adam
these are the fish	|||	pro;dem|these cop|be-PRES det;art|the n|fish	|||	these are the fish
yes he gave you a lollipop	|||	co|yes pro;sub|he v|give-PAST pro;per|you det;art|a n|lollipop	|||	yes he gave you a lollipop
no I think marbles are round	|||	co|no pro;sub|I v|think n|marble-PL cop|be-PRES adj|round	|||	no I think marbles are round
yes it looks like your brother chewed it	|||	co|yes pro;per|it cop|look-3S prep|like det;poss|your n|brother v|chew-PAST pro;per|it	|||	yes it looks like your brother chewed it
oh Paul you ~be a little character	|||	co|oh n;prop|Paul pro;per|you cop|~be det;art|a adj|little n|character	|||	oh Paul you 're a little character
it ~be not a magnet after all	|||	pro;per|it cop|~be neg|not det;art|a n|magnet prep|after pro;indef|all	|||	it 's not a magnet after all
I tried very hard	|||	pro;sub|I v|try-PAST adv|very adv|hard	|||	I tried very hard
a doll in	|||	det;art|a n|doll adv|in	|||	a doll in
little red spots	|||	adj|little adj|red n|spot-PL	|||	little red spots
alright now you have five pennies	|||	co|alright adv|now pro;per|you v|have det;num|five n|penny-PL	|||	alright now you have five pennies
now he can close his mouth	|||	adv|now pro;sub|he mod|can v|close det;poss|his n|mouth	|||	now he can close his mouth
oh Mr Milkman	|||	co|oh n;prop|Mr n;prop|Milkman	|||	oh Mr Milkman
Paul he ~will show you how it goes	|||	n;prop|Paul pro;sub|he mod|~will v|show pro;per|you adv;int|how pro;per|it v|go-3S	|||	Paul he 'll show you how it goes
how can you have too much	|||	adv;int|how mod|can pro;per|you v|have adv|too qn|much	|||	how can you have too much
okay Adam ride it	|||	co|okay n;prop|Adam n|ride pro;per|it	|||	okay Adam ride it
pilot and what	|||	n|pilot coord|and pro;int|what	|||	pilot and what
I ~will fix your clothesline while you ~be gone	|||	pro;sub|I mod|~will v|fix det;poss|your n|clothes+line conj|while pro;per|you cop|~be part|go-PASTP	|||	I 'll fix your clothes while you 're gone
a cooking set	|||	det;art|a part|cook-PRESP n|set	|||	a cooking set
oh to keep you company	|||	co|oh prep|to v|keep pro;per|you n|company	|||	oh to keep you company
it ~be easier for Mommy to keep up with with the door	|||	pro;per|it aux|~be adj|ease-dn prep|for n;prop|Mommy inf|to v|keep adv|up prep|with prep|with det;art|the n|door	|||	it 's easier for Mommy to keep up with with the door
it will hurt you	|||	pro;per|it mod|will v|hurt-ZERO pro;per|you	|||	it will hurt you
you ~be just getting in your brother ~s way	|||	pro;per|you cop|~be adv|just part|get-PRESP prep|in det;poss|your n|brother poss|~s n|way	|||	you 're just getting in your brother 's way
on the tray	|||	prep|on det;art|the n|tray	|||	on the tray
I do ~not know why he wants to change	|||	pro;sub|I mod|do neg|~not v|know adv;int|why pro;sub|he v|want-3S inf|to v|change	|||	I don 't know why he wants to change
what are you putting on your head	|||	pro;int|what aux|be-PRES pro;per|you part|put-PRESP prep|on det;poss|your n|head	|||	what are you putting on your head
no I just read them	|||	co|no pro;sub|I adv|just v|read-ZERO pro;obj|them	|||	no I just read them
I do ~not play it	|||	pro;sub|I mod|do neg|~not v|play pro;per|it	|||	I didn 't play it
shall we make something with these	|||	mod|shall pro;sub|we v|make pro;indef|something prep|with pro;dem|these	|||	shall we make something with these
carry the baker	|||	v|carry det;art|the n|bake-dv	|||	carry the baker
who is this Adam	|||	pro;int|who cop|be-3S pro;dem|this n;prop|Adam	|||	who is this Adam
p is for parasol	|||	n;let|p cop|be-3S prep|for n|parasol	|||	p is for parasol
that ~be just a little story	|||	pro;dem|that cop|~be adv|just det;art|a adj|little n|story	|||	that 's just a little story
fireman who	|||	n|fire+man pro;rel|who	|||	fireman who
you let Bobo hear it	|||	pro;per|you v|let-ZERO n;prop|Bobo v|hear pro;per|it	|||	you let Bobo hear it
no I put that there for you	|||	co|no pro;sub|I part|put-PASTP det;dem|that adv|there prep|for pro;per|you	|||	no I put that there for you
four trucks	|||	det;num|four n|truck-PL	|||	four trucks
what are they playing on	|||	det;int|what aux|be-PRES pro;sub|they part|play-PRESP adv|on	|||	what are they playing on
who says cock_a_doodle_doo	|||	pro;int|who v|say-3S co|cock_a_doodle_doo	|||	who says cock_a_doodle_doo
and get my pencil out first	|||	coord|and v|get det;poss|my n|pencil adv|out adv|first	|||	and get my pencil out first
the kitty ~be reading the mail	|||	det;art|the n|kitty aux|~be part|read-PRESP det;art|the n|mail	|||	the kitty 's reading the mail
you caught your toe	|||	pro;per|you v|catch-PAST det;poss|your n|toe	|||	you caught your toe
and when you throw it up in the air what happens	|||	coord|and conj|when pro;per|you v|throw pro;per|it adv|up prep|in det;art|the n|air pro;int|what v|happen-3S	|||	and when you throw it up in the air what happens
how ~be you goto-PRESP ~to catch those	|||	adv;int|how aux|~be pro;per|you part|go+to-PRESP inf|~to v|catch pro;dem|those	|||	how 're you gonna  catch those
I ~be not hurt	|||	pro;sub|I cop|~be neg|not v|hurt-ZERO	|||	I 'm not hurt
forgot to cut out who	|||	v|forget-PAST inf|to v|cut-ZERO adv|out pro;rel|who	|||	forgot to cut out who
which one looks like that	|||	pro;rel|which pro;indef|one cop|look-3S prep|like pro;dem|that	|||	which one looks like that
it ~be most of the animals	|||	pro;per|it aux|~be qn|most prep|of det;art|the n|animal-PL	|||	it 's most of the animals
good for you for putting all the tops on Adam	|||	adj|good prep|for pro;per|you conj|for n;gerund|put-PRESP qn|all det;art|the n|top-PL adv|on n;prop|Adam	|||	good for you for putting all the tops on Adam
what about your play toy	|||	pro;int|what adv|about det;poss|your n|play n|toy	|||	what about your play toy
what about trying to do the one you had	|||	pro;int|what adv|about part|try-PRESP inf|to v|do det;art|the pro;indef|one pro;per|you v|have-PAST	|||	what about trying to do the one you had
ball is home	|||	n|ball aux|be-3S adv|home	|||	ball is home
no that ~be a	|||	co|no pro;dem|that cop|~be n;let|a	|||	no that 's a
Adam do ~not throw those	|||	n;prop|Adam mod|do neg|~not v|throw pro;dem|those	|||	Adam don 't throw those
no I think you have_to leave it where it is	|||	co|no pro;sub|I v|think pro;per|you mod;aux|have_to v|leave pro;per|it pro;rel|where pro;per|it cop|be-3S	|||	no I think you have_to leave it where it is
okay well that ~be enough	|||	co|okay co|well pro;dem|that cop|~be adv|enough	|||	okay well that 's enough
who wrote on that	|||	pro;int|who v|write-PAST prep|on pro;dem|that	|||	who wrote on that
no I think your Mother must have answered it	|||	co|no pro;sub|I v|think det;poss|your n;prop|Mother mod|must aux|have part|answer-PASTP pro;per|it	|||	no I think your Mother must have answered it
oh he gave you some candy	|||	co|oh pro;sub|he v|give-PAST pro;per|you qn|some n|candy	|||	oh he gave you some candy
not really we just bought a loaf of bread and some eggs	|||	neg|not adv|real-dadj pro;sub|we adv|just v|buy-PAST det;art|a n|loaf prep|of n|bread coord|and qn|some n|egg-PL	|||	not really we just bought a loaf of bread and some eggs
shall we pour that in there	|||	mod|shall pro;sub|we v|pour pro;dem|that prep|in adv|there	|||	shall we pour that in there
can I take a message	|||	mod|can pro;sub|I v|take det;art|a n|message	|||	can I take a message
do ~not you see the penny	|||	mod|do neg|~not pro;per|you v|see det;art|the n|penny	|||	didn 't you see the penny
alright Paul here ~be one for you	|||	co|alright n;prop|Paul pro;exist|here cop|~be pro;indef|one prep|for pro;per|you	|||	alright Paul here 's one for you
oh what d doyou do you have_to keep it for	|||	co|oh pro;int|what mod|do v;per|do+you v|do pro;per|you mod;aux|have_to v|keep pro;per|it prep|for	|||	oh what d you do you have_to keep it for
do ~not forget the top	|||	mod|do neg|~not v|forget det;art|the n|top	|||	don 't forget the top
